k,alpha,isoId,classification
4,0.000,PH-027,Pigeon
5,0.000,PH-027,Human
6,0.000,PH-027,Human
7,0.000,PH-027,Pigeon
8,0.000,PH-027,Pigeon
1,0.500,PH-027,null
2,0.500,PH-027,Pigeon
3,0.500,PH-027,Pigeon
4,0.500,PH-027,Pigeon
5,0.500,PH-027,Human
6,0.500,PH-027,Human
7,0.500,PH-027,Pigeon
8,0.500,PH-027,Pigeon
1,0.900,PH-027,null
2,0.900,PH-027,Pigeon
3,0.900,PH-027,Pigeon
4,0.900,PH-027,Pigeon
5,0.900,PH-027,Human
6,0.900,PH-027,Human
7,0.900,PH-027,Pigeon
8,0.900,PH-027,Pigeon
1,0.950,PH-027,null
2,0.950,PH-027,Pigeon
3,0.950,PH-027,Pigeon
4,0.950,PH-027,Pigeon
5,0.950,PH-027,Human
6,0.950,PH-027,Human
7,0.950,PH-027,Pigeon
8,0.950,PH-027,Pigeon
1,0.980,PH-027,null
2,0.980,PH-027,Pigeon
3,0.980,PH-027,Pigeon
4,0.980,PH-027,Pigeon
5,0.980,PH-027,Human
6,0.980,PH-027,Human
7,0.980,PH-027,Pigeon
8,0.980,PH-027,Pigeon
1,0.990,PH-027,null
2,0.990,PH-027,Pigeon
3,0.990,PH-027,Pigeon
4,0.990,PH-027,Pigeon
5,0.990,PH-027,Pigeon
6,0.990,PH-027,Pigeon
7,0.990,PH-027,Pigeon
8,0.990,PH-027,Pigeon
1,0.000,PH-014,null
2,0.000,PH-014,Cow
3,0.000,PH-014,Cow
4,0.000,PH-014,Cw
5,0.000,PH-014,Pigeon
6,0.000,PH-014,Cow
7,0.000,PH-014,Cow
8,0.000,PH-014,Cow
1,0.500,PH-014,null
2,0.500,PH-014,Cow
3,0.500,PH-014,Cow
4,0.500,PH-014,Cw
5,0.500,PH-014,Pigeon
6,0.500,PH-014,Cow
7,0.500,PH-014,Cow
8,0.500,PH-014,Cow
1,0.900,PH-014,null
2,0.900,PH-014,Cow
3,0.900,PH-014,Cow
4,0.900,PH-014,Cw
5,0.900,PH-014,Pigeon
6,0.900,PH-014,Cow
7,0.900,PH-014,Cow
8,0.900,PH-014,Cow
1,0.950,PH-014,null
2,0.950,PH-014,Cow
3,0.950,PH-014,Cow
4,0.950,PH-014,Cw
5,0.950,PH-014,Pigeon
6,0.950,PH-014,Cow
7,0.950,PH-014,Cow
8,0.950,PH-014,Cow
1,0.980,PH-014,null
2,0.980,PH-014,Cow
3,0.980,PH-014,Cow
4,0.980,PH-014,Cw
5,0.980,PH-014,Pigeon
6,0.980,PH-014,Cow
7,0.980,PH-014,Cow
8,0.980,PH-014,Cow
1,0.990,PH-014,null
2,0.990,PH-014,null
3,0.990,PH-014,null
4,0.990,PH-014,null
5,0.990,PH-014,null
6,0.990,PH-014,null
7,0.990,PH-014,null
8,0.990,PH-014,null
1,0.000,PH-013,null
2,0.000,PH-013,Horse
3,0.000,PH-013,Horse
4,0.000,PH-013,Horse
5,0.000,PH-013,Horse
6,0.000,PH-013,Horse
7,0.000,PH-013,Cow
8,0.000,PH-013,Cow
1,0.500,PH-013,null
2,0.500,PH-013,Horse
3,0.500,PH-013,Horse
4,0.500,PH-013,Horse
5,0.500,PH-013,Horse
6,0.500,PH-013,Horse
7,0.500,PH-013,Cow
8,0.500,PH-013,Cow
1,0.900,PH-013,null
2,0.900,PH-013,Horse
3,0.900,PH-013,Horse
4,0.900,PH-013,Horse
5,0.900,PH-013,Horse
6,0.900,PH-013,Horse
7,0.900,PH-013,Cow
8,0.900,PH-013,Cow
1,0.950,PH-013,null
2,0.950,PH-013,Horse
3,0.950,PH-013,Horse
4,0.950,PH-013,Horse
5,0.950,PH-013,Horse
6,0.950,PH-013,Horse
7,0.950,PH-013,Cow
8,0.950,PH-013,Cow
1,0.980,PH-013,null
2,0.980,PH-013,Horse
3,0.980,PH-013,Horse
4,0.980,PH-013,Horse
5,0.980,PH-013,Horse
6,0.980,PH-013,Horse
7,0.980,PH-013,Cow
8,0.980,PH-013,Cow
1,0.990,PH-013,null
2,0.990,PH-013,Horse
3,0.990,PH-013,Horse
4,0.990,PH-013,Horse
5,0.990,PH-013,Horse
6,0.990,PH-013,Horse
7,0.990,PH-013,Human
8,0.990,PH-013,Human
1,0.000,PH-012,null
2,0.000,PH-012,Human UTI
3,0.000,PH-012,Human
4,0.000,PH-012,Hu and Cw
5,0.000,PH-012,Hu and Cw
6,0.000,PH-012,Ground Squirrel
7,0.000,PH-012,Ground Squirrel
8,0.000,PH-012,Ground Squirrel
1,0.500,PH-012,null
2,0.500,PH-012,Human UTI
3,0.500,PH-012,Human
4,0.500,PH-012,Hu and Cw
5,0.500,PH-012,Hu and Cw
6,0.500,PH-012,Ground Squirrel
7,0.500,PH-012,Ground Squirrel
8,0.500,PH-012,Ground Squirrel
1,0.900,PH-012,null
2,0.900,PH-012,Human UTI
3,0.900,PH-012,Human
4,0.900,PH-012,Hu and Cw
5,0.900,PH-012,Hu and Cw
6,0.900,PH-012,Ground Squirrel
7,0.900,PH-012,Ground Squirrel
8,0.900,PH-012,Ground Squirrel
1,0.950,PH-012,null
2,0.950,PH-012,Human UTI
3,0.950,PH-012,Human
4,0.950,PH-012,Hu and Cw
5,0.950,PH-012,Hu and Cw
6,0.950,PH-012,Ground Squirrel
7,0.950,PH-012,Ground Squirrel
8,0.950,PH-012,Ground Squirrel
1,0.980,PH-012,null
2,0.980,PH-012,Hu and Cw
3,0.980,PH-012,Hu and Cw
4,0.980,PH-012,Hu and Cw
5,0.980,PH-012,Hu and Cw
6,0.980,PH-012,Ground Squirrel
7,0.980,PH-012,Ground Squirrel
8,0.980,PH-012,Ground Squirrel
1,0.990,PH-012,null
2,0.990,PH-012,null
3,0.990,PH-012,null
4,0.990,PH-012,null
5,0.990,PH-012,null
6,0.990,PH-012,null
7,0.990,PH-012,null
8,0.990,PH-012,null
1,0.000,PH-011,null
2,0.000,PH-011,Cow
3,0.000,PH-011,Cow
4,0.000,PH-011,Pigeon
5,0.000,PH-011,Pigeon
6,0.000,PH-011,Pigeon
7,0.000,PH-011,Pigeon
8,0.000,PH-011,Pigeon
1,0.500,PH-011,null
2,0.500,PH-011,Cow
3,0.500,PH-011,Cow
4,0.500,PH-011,Pigeon
5,0.500,PH-011,Pigeon
6,0.500,PH-011,Pigeon
7,0.500,PH-011,Pigeon
