k,alpha,isoId,classification
3,0.000,PH-028,Cow
4,0.000,PH-028,Cow
5,0.000,PH-028,Cow
6,0.000,PH-028,Cow
7,0.000,PH-028,Cow
8,0.000,PH-028,Cow
1,0.500,PH-028,null
2,0.500,PH-028,Cow
3,0.500,PH-028,Cow
4,0.500,PH-028,Cow
5,0.500,PH-028,Cow
6,0.500,PH-028,Cow
7,0.500,PH-028,Cow
8,0.500,PH-028,Cow
1,0.900,PH-028,null
2,0.900,PH-028,null
3,0.900,PH-028,null
4,0.900,PH-028,null
5,0.900,PH-028,null
6,0.900,PH-028,null
7,0.900,PH-028,null
8,0.900,PH-028,null
1,0.950,PH-028,null
2,0.950,PH-028,null
3,0.950,PH-028,null
4,0.950,PH-028,null
5,0.950,PH-028,null
6,0.950,PH-028,null
7,0.950,PH-028,null
8,0.950,PH-028,null
1,0.980,PH-028,null
2,0.980,PH-028,null
3,0.980,PH-028,null
4,0.980,PH-028,null
5,0.980,PH-028,null
6,0.980,PH-028,null
7,0.980,PH-028,null
8,0.980,PH-028,null
1,0.990,PH-028,null
2,0.990,PH-028,null
3,0.990,PH-028,null
4,0.990,PH-028,null
5,0.990,PH-028,null
6,0.990,PH-028,null
7,0.990,PH-028,null
8,0.990,PH-028,null
1,0.000,PH-027,null
2,0.000,PH-027,Cow
3,0.000,PH-027,Cow
4,0.000,PH-027,Cow
5,0.000,PH-027,Cow
6,0.000,PH-027,Cow
7,0.000,PH-027,Cow
8,0.000,PH-027,Cow
1,0.500,PH-027,null
2,0.500,PH-027,Cow
3,0.500,PH-027,Cow
4,0.500,PH-027,Cow
5,0.500,PH-027,Cow
6,0.500,PH-027,Cow
7,0.500,PH-027,Cow
8,0.500,PH-027,Cow
1,0.900,PH-027,null
2,0.900,PH-027,null
3,0.900,PH-027,null
4,0.900,PH-027,null
5,0.900,PH-027,null
6,0.900,PH-027,null
7,0.900,PH-027,null
8,0.900,PH-027,null
1,0.950,PH-027,null
2,0.950,PH-027,null
3,0.950,PH-027,null
4,0.950,PH-027,null
5,0.950,PH-027,null
6,0.950,PH-027,null
7,0.950,PH-027,null
8,0.950,PH-027,null
1,0.980,PH-027,null
2,0.980,PH-027,null
3,0.980,PH-027,null
4,0.980,PH-027,null
5,0.980,PH-027,null
6,0.980,PH-027,null
7,0.980,PH-027,null
8,0.980,PH-027,null
1,0.990,PH-027,null
2,0.990,PH-027,null
3,0.990,PH-027,null
4,0.990,PH-027,null
5,0.990,PH-027,null
6,0.990,PH-027,null
7,0.990,PH-027,null
8,0.990,PH-027,null
1,0.000,PH-014,null
2,0.000,PH-014,Cow
3,0.000,PH-014,Cow
4,0.000,PH-014,Cow
5,0.000,PH-014,Cow
6,0.000,PH-014,Cow
7,0.000,PH-014,Cow
8,0.000,PH-014,Cow
1,0.500,PH-014,null
2,0.500,PH-014,Cow
3,0.500,PH-014,Cow
4,0.500,PH-014,Cow
5,0.500,PH-014,Cow
6,0.500,PH-014,Cow
7,0.500,PH-014,Cow
8,0.500,PH-014,Cow
1,0.900,PH-014,null
2,0.900,PH-014,null
3,0.900,PH-014,null
4,0.900,PH-014,null
5,0.900,PH-014,null
6,0.900,PH-014,null
7,0.900,PH-014,null
8,0.900,PH-014,null
1,0.950,PH-014,null
2,0.950,PH-014,null
3,0.950,PH-014,null
4,0.950,PH-014,null
5,0.950,PH-014,null
6,0.950,PH-014,null
7,0.950,PH-014,null
8,0.950,PH-014,null
1,0.980,PH-014,null
2,0.980,PH-014,null
3,0.980,PH-014,null
4,0.980,PH-014,null
5,0.980,PH-014,null
6,0.980,PH-014,null
7,0.980,PH-014,null
8,0.980,PH-014,null
1,0.990,PH-014,null
2,0.990,PH-014,null
3,0.990,PH-014,null
4,0.990,PH-014,null
5,0.990,PH-014,null
6,0.990,PH-014,null
7,0.990,PH-014,null
8,0.990,PH-014,null
1,0.000,PH-013,null
2,0.000,PH-013,Cow
3,0.000,PH-013,Cow
4,0.000,PH-013,Cow
5,0.000,PH-013,Cow
6,0.000,PH-013,Cow
7,0.000,PH-013,Cow
8,0.000,PH-013,Cow
1,0.500,PH-013,null
2,0.500,PH-013,Cow
3,0.500,PH-013,Cow
4,0.500,PH-013,Cow
5,0.500,PH-013,Cow
6,0.500,PH-013,Cow
7,0.500,PH-013,Cow
8,0.500,PH-013,Cow
1,0.900,PH-013,null
2,0.900,PH-013,null
3,0.900,PH-013,null
4,0.900,PH-013,null
5,0.900,PH-013,null
6,0.900,PH-013,null
7,0.900,PH-013,null
8,0.900,PH-013,null
1,0.950,PH-013,null
2,0.950,PH-013,null
3,0.950,PH-013,null
4,0.950,PH-013,null
5,0.950,PH-013,null
6,0.950,PH-013,null
7,0.950,PH-013,null
8,0.950,PH-013,null
1,0.980,PH-013,null
2,0.980,PH-013,null
3,0.980,PH-013,null
4,0.980,PH-013,null
5,0.980,PH-013,null
6,0.980,PH-013,null
7,0.980,PH-013,null
8,0.980,PH-013,null
1,0.990,PH-013,null
2,0.990,PH-013,null
3,0.990,PH-013,null
4,0.990,PH-013,null
5,0.990,PH-013,null
6,0.990,PH-013,null
7,0.990,PH-013,null
8,0.990,PH-013,null
1,0.000,PH-012,null
2,0.000,PH-012,Cow
3,0.000,PH-012,Cow
4,0.000,PH-012,Cow
5,0.000,PH-012,Cow
6,0.000,PH-012,Cow
7,0.000,PH-012,Cow
8,0.000,PH-012,Cow
1,0.500,PH-012,null
2,0.500,PH-012,Cow
3,0.500,PH-012,Cow
4,0.500,PH-012,Cow
