k,alpha,species,applied-region,Successes (# Pyroprints),Failures (# Pyroprints),NonDecisions (# Pyroprints),Total,Decision-Made Accuracy,Overall Accuracy,
5,0.500,OVERALL,16-23,3883,2465,0,6348,0.612,0.612,
5,0.500,OVERALL,23-5,7708,3127,2401,13236,0.711,0.582,
5,0.900,Chicken,16-23,5,35,0,40,0.125,0.125,
5,0.900,Chicken,23-5,12,30,40,82,0.286,0.146,
5,0.900,Sea Lion,16-23,0,2,0,2,0.000,0.000,
5,0.900,Sea Lion,23-5,3,1,2,6,0.750,0.500,
5,0.900,Hu and Cw,16-23,17,13,0,30,0.567,0.567,
5,0.900,Hu and Cw,23-5,13,17,30,60,0.433,0.217,
5,0.900,Sheep,16-23,58,46,0,104,0.558,0.558,
5,0.900,Sheep,23-5,70,28,94,192,0.714,0.365,
5,0.900,Hu and Dg,16-23,19,13,0,32,0.594,0.594,
5,0.900,Hu and Dg,23-5,21,9,30,60,0.700,0.350,
5,0.900,Common Loon,16-23,0,2,0,2,0.000,0.000,
5,0.900,Common Loon,23-5,0,2,2,4,0.000,0.000,
5,0.900,Red-Winged Blackbird,16-23,0,2,0,2,0.000,0.000,
5,0.900,Red-Winged Blackbird,23-5,0,2,2,4,0.000,0.000,
5,0.900,Cw,16-23,14,16,0,30,0.467,0.467,
5,0.900,Cw,23-5,23,7,30,60,0.767,0.383,
5,0.900,Cliff Sparrow,16-23,3,25,0,28,0.107,0.107,
5,0.900,Cliff Sparrow,23-5,2,27,27,56,0.069,0.036,
5,0.900,Pig,16-23,17,20,0,37,0.459,0.459,
5,0.900,Pig,23-5,8,26,34,68,0.235,0.118,
5,0.900,Barn Owl,16-23,0,0,0,0,NaN,NaN,
5,0.900,Barn Owl,23-5,0,2,0,2,0.000,0.000,
5,0.900,Wild Pig,16-23,5,12,0,17,0.294,0.294,
5,0.900,Wild Pig,23-5,4,6,8,18,0.400,0.222,
5,0.900,Pennington Creek Water,16-23,0,344,1,345,0.000,0.000,
5,0.900,Pennington Creek Water,23-5,0,461,321,782,0.000,0.000,
5,0.900,Guinni,16-23,0,0,0,0,NaN,NaN,
5,0.900,Guinni,23-5,0,2,0,2,0.000,0.000,
5,0.900,Racoon,16-23,0,2,0,2,0.000,0.000,
5,0.900,Racoon,23-5,0,3,2,5,0.000,0.000,
5,0.900,Hu,16-23,18,11,0,29,0.621,0.621,
5,0.900,Hu,23-5,18,13,29,60,0.581,0.300,
5,0.900,Cw and Dg,16-23,6,24,0,30,0.200,0.200,
5,0.900,Cw and Dg,23-5,18,12,30,60,0.600,0.300,
5,0.900,Red Wind Blackbird,16-23,0,2,0,2,0.000,0.000,
5,0.900,Red Wind Blackbird,23-5,0,2,2,4,0.000,0.000,
5,0.900,Tree Swallow,16-23,0,2,0,2,0.000,0.000,
5,0.900,Tree Swallow,23-5,0,2,2,4,0.000,0.000,
5,0.900,Turkey Vulture,16-23,0,2,0,2,0.000,0.000,
5,0.900,Turkey Vulture,23-5,0,3,2,5,0.000,0.000,
5,0.900,Dg,16-23,10,20,0,30,0.333,0.333,
5,0.900,Dg,23-5,28,2,30,60,0.933,0.467,
5,0.900,Western Kingbird,16-23,0,2,0,2,0.000,0.000,
5,0.900,Western Kingbird,23-5,0,2,2,4,0.000,0.000,
5,0.900,White Crowned Sparrow,16-23,3,12,0,15,0.200,0.200,
5,0.900,White Crowned Sparrow,23-5,4,11,15,30,0.267,0.133,
5,0.900,Eared Grebe,16-23,0,0,0,0,NaN,NaN,
5,0.900,Eared Grebe,23-5,3,1,0,4,0.750,0.750,
5,0.900,cougar,16-23,0,1,0,1,0.000,0.000,
5,0.900,cougar,23-5,0,1,1,2,0.000,0.000,
5,0.900,Ocean Water,16-23,0,0,0,0,NaN,NaN,
5,0.900,Ocean Water,23-5,0,10,0,10,0.000,0.000,
5,0.900,Red Tailed Hawk,16-23,0,2,0,2,0.000,0.000,
5,0.900,Red Tailed Hawk,23-5,0,3,2,5,0.000,0.000,
5,0.900,Dog,16-23,79,59,0,138,0.572,0.572,
5,0.900,Dog,23-5,118,71,138,327,0.624,0.361,
5,0.900,Human,16-23,1706,170,0,1876,0.909,0.909,
5,0.900,Human,23-5,2168,159,1471,3798,0.932,0.571,
5,0.900,Wild Turkey,16-23,12,34,0,46,0.261,0.261,
5,0.900,Wild Turkey,23-5,4,35,39,78,0.103,0.051,
5,0.900,Clark Grebe,16-23,0,0,0,0,NaN,NaN,
5,0.900,Clark Grebe,23-5,0,2,0,2,0.000,0.000,
5,0.900,Seagull,16-23,0,0,0,0,NaN,NaN,
5,0.900,Seagull,23-5,24,43,0,67,0.358,0.358,
5,0.900,Surf Scoter,16-23,0,0,0,0,NaN,NaN,
5,0.900,Surf Scoter,23-5,0,2,0,2,0.000,0.000,
5,0.900,Pigeon,16-23,84,156,0,240,0.350,0.350,
5,0.900,Pigeon,23-5,103,188,192,483,0.354,0.213,
5,0.900,Pacific Ocean Water,16-23,0,46,0,46,0.000,0.000,
5,0.900,Pacific Ocean Water,23-5,0,50,45,95,0.000,0.000,
5,0.900,Cat,16-23,27,26,0,53,0.509,0.509,
5,0.900,Cat,23-5,28,35,38,101,0.444,0.277,
5,0.900,Horse,16-23,13,33,0,46,0.283,0.283,
5,0.900,Horse,23-5,34,53,44,131,0.391,0.260,
5,0.900,orangutan,16-23,0,1,0,1,0.000,0.000,
5,0.900,orangutan,23-5,0,1,1,2,0.000,0.000,
5,0.900,Bat,16-23,36,1,0,37,0.973,0.973,
5,0.900,Bat,23-5,37,1,37,75,0.974,0.493,
5,0.900,Deer,16-23,16,5,0,21,0.762,0.762,
5,0.900,Deer,23-5,18,4,21,43,0.818,0.419,
5,0.900,Great Horned Owl,16-23,0,3,0,3,0.000,0.000,
5,0.900,Great Horned Owl,23-5,0,7,3,10,0.000,0.000,
5,0.900,Freshwater Lagoon,16-23,0,0,0,0,NaN,NaN,
5,0.900,Freshwater Lagoon,23-5,0,4,0,4,0.000,0.000,
5,0.900,Unknown Avian,16-23,0,2,0,2,0.000,0.000,
5,0.900,Unknown Avian,23-5,0,2,2,4,0.000,0.000,
5,0.900,Human UTI,16-23,89,50,0,139,0.640,0.640,
5,0.900,Human UTI,23-5,111,30,138,279,0.787,0.398,
5,0.900,unknown,16-23,0,11,0,11,0.000,0.000,
5,0.900,unknown,23-5,3,8,11,22,0.273,0.136,
5,0.900,SLO Creek Water,16-23,0,873,3,876,0.000,0.000,
5,0.900,SLO Creek Water,23-5,0,1328,803,2131,0.000,0.000,
5,0.900,Pig/Swine,16-23,11,15,0,26,0.423,0.423,
5,0.900,Pig/Swine,23-5,13,12,24,49,0.520,0.265,
5,0.900,Klebsiella,16-23,0,0,0,0,NaN,NaN,
5,0.900,Klebsiella,23-5,0,0,0,0,NaN,NaN,
5,0.900,Hu Cw and Dg,16-23,12,18,0,30,0.400,0.400,
5,0.900,Hu Cw and Dg,23-5,16,14,30,60,0.533,0.267,
5,0.900,Ground Squirrel,16-23,104,70,0,174,0.598,0.598,
5,0.900,Ground Squirrel,23-5,89,88,141,318,0.503,0.280,
5,0.900,Opossum,16-23,0,6,0,6,0.000,0.000,
5,0.900,Opossum,23-5,0,6,6,12,0.000,0.000,
5,0.900,Cow,16-23,1519,270,0,1789,0.849,0.849,
5,0.900,Cow,23-5,1490,289,1711,3490,0.838,0.427,
5,0.900,Deer Mouse,16-23,0,2,0,2,0.000,0.000,
5,0.900,Deer Mouse,23-5,0,2,2,4,0.000,0.000,
5,0.900,OVERALL,16-23,3883,2461,4,6348,0.612,0.612,
5,0.900,OVERALL,23-5,4483,3119,5634,13236,0.590,0.339,
5,0.950,Chicken,16-23,5,35,0,40,0.125,0.125,
5,0.950,Chicken,23-5,12,30,40,82,0.286,0.146,
5,0.950,Sea Lion,16-23,0,2,0,2,0.000,0.000,
5,0.950,Sea Lion,23-5,3,1,2,6,0.750,0.500,
5,0.950,Hu and Cw,16-23,17,13,0,30,0.567,0.567,
5,0.950,Hu and Cw,23-5,13,17,30,60,0.433,0.217,
5,0.950,Sheep,16-23,58,46,0,104,0.558,0.558,
5,0.950,Sheep,23-5,70,27,95,192,0.722,0.365,
5,0.950,Hu and Dg,16-23,19,13,0,32,0.594,0.594,
5,0.950,Hu and Dg,23-5,21,9,30,60,0.700,0.350,
5,0.950,Common Loon,16-23,0,2,0,2,0.000,0.000,
5,0.950,Common Loon,23-5,0,2,2,4,0.000,0.000,
5,0.950,Red-Winged Blackbird,16-23,0,2,0,2,0.000,0.000,
5,0.950,Red-Winged Blackbird,23-5,0,2,2,4,0.000,0.000,
5,0.950,Cw,16-23,14,16,0,30,0.467,0.467,
5,0.950,Cw,23-5,23,7,30,60,0.767,0.383,
5,0.950,Cliff Sparrow,16-23,3,25,0,28,0.107,0.107,
5,0.950,Cliff Sparrow,23-5,2,27,27,56,0.069,0.036,
5,0.950,Pig,16-23,17,20,0,37,0.459,0.459,
5,0.950,Pig,23-5,8,26,34,68,0.235,0.118,
5,0.950,Barn Owl,16-23,0,0,0,0,NaN,NaN,
5,0.950,Barn Owl,23-5,0,2,0,2,0.000,0.000,
5,0.950,Wild Pig,16-23,5,12,0,17,0.294,0.294,
5,0.950,Wild Pig,23-5,4,6,8,18,0.400,0.222,
5,0.950,Pennington Creek Water,16-23,0,341,4,345,0.000,0.000,
5,0.950,Pennington Creek Water,23-5,0,454,328,782,0.000,0.000,
5,0.950,Guinni,16-23,0,0,0,0,NaN,NaN,
5,0.950,Guinni,23-5,0,2,0,2,0.000,0.000,
5,0.950,Racoon,16-23,0,2,0,2,0.000,0.000,
5,0.950,Racoon,23-5,0,3,2,5,0.000,0.000,
5,0.950,Hu,16-23,18,11,0,29,0.621,0.621,
5,0.950,Hu,23-5,18,13,29,60,0.581,0.300,
5,0.950,Cw and Dg,16-23,6,24,0,30,0.200,0.200,
5,0.950,Cw and Dg,23-5,18,12,30,60,0.600,0.300,
5,0.950,Red Wind Blackbird,16-23,0,2,0,2,0.000,0.000,
5,0.950,Red Wind Blackbird,23-5,0,2,2,4,0.000,0.000,
5,0.950,Tree Swallow,16-23,0,2,0,2,0.000,0.000,
5,0.950,Tree Swallow,23-5,0,2,2,4,0.000,0.000,
5,0.950,Turkey Vulture,16-23,0,2,0,2,0.000,0.000,
5,0.950,Turkey Vulture,23-5,0,3,2,5,0.000,0.000,
5,0.950,Dg,16-23,10,20,0,30,0.333,0.333,
5,0.950,Dg,23-5,28,2,30,60,0.933,0.467,
5,0.950,Western Kingbird,16-23,0,2,0,2,0.000,0.000,
5,0.950,Western Kingbird,23-5,0,2,2,4,0.000,0.000,
5,0.950,White Crowned Sparrow,16-23,3,12,0,15,0.200,0.200,
5,0.950,White Crowned Sparrow,23-5,4,11,15,30,0.267,0.133,
5,0.950,Eared Grebe,16-23,0,0,0,0,NaN,NaN,
5,0.950,Eared Grebe,23-5,3,1,0,4,0.750,0.750,
5,0.950,cougar,16-23,0,1,0,1,0.000,0.000,
5,0.950,cougar,23-5,0,1,1,2,0.000,0.000,
5,0.950,Ocean Water,16-23,0,0,0,0,NaN,NaN,
5,0.950,Ocean Water,23-5,0,10,0,10,0.000,0.000,
5,0.950,Red Tailed Hawk,16-23,0,2,0,2,0.000,0.000,
5,0.950,Red Tailed Hawk,23-5,0,3,2,5,0.000,0.000,
5,0.950,Dog,16-23,79,59,0,138,0.572,0.572,
5,0.950,Dog,23-5,118,71,138,327,0.624,0.361,
5,0.950,Human,16-23,1706,170,0,1876,0.909,0.909,
5,0.950,Human,23-5,2168,157,1473,3798,0.932,0.571,
5,0.950,Wild Turkey,16-23,12,34,0,46,0.261,0.261,
5,0.950,Wild Turkey,23-5,4,35,39,78,0.103,0.051,
5,0.950,Clark Grebe,16-23,0,0,0,0,NaN,NaN,
5,0.950,Clark Grebe,23-5,0,2,0,2,0.000,0.000,
5,0.950,Seagull,16-23,0,0,0,0,NaN,NaN,
5,0.950,Seagull,23-5,24,43,0,67,0.358,0.358,
5,0.950,Surf Scoter,16-23,0,0,0,0,NaN,NaN,
5,0.950,Surf Scoter,23-5,0,2,0,2,0.000,0.000,
5,0.950,Pigeon,16-23,84,156,0,240,0.350,0.350,
5,0.950,Pigeon,23-5,103,187,193,483,0.355,0.213,
5,0.950,Pacific Ocean Water,16-23,0,46,0,46,0.000,0.000,
5,0.950,Pacific Ocean Water,23-5,0,49,46,95,0.000,0.000,
5,0.950,Cat,16-23,27,26,0,53,0.509,0.509,
5,0.950,Cat,23-5,28,35,38,101,0.444,0.277,
5,0.950,Horse,16-23,13,33,0,46,0.283,0.283,
5,0.950,Horse,23-5,34,53,44,131,0.391,0.260,
5,0.950,orangutan,16-23,0,1,0,1,0.000,0.000,
5,0.950,orangutan,23-5,0,1,1,2,0.000,0.000,
5,0.950,Bat,16-23,36,1,0,37,0.973,0.973,
5,0.950,Bat,23-5,37,1,37,75,0.974,0.493,
5,0.950,Deer,16-23,16,5,0,21,0.762,0.762,
5,0.950,Deer,23-5,18,4,21,43,0.818,0.419,
5,0.950,Great Horned Owl,16-23,0,3,0,3,0.000,0.000,
5,0.950,Great Horned Owl,23-5,0,7,3,10,0.000,0.000,
5,0.950,Freshwater Lagoon,16-23,0,0,0,0,NaN,NaN,
5,0.950,Freshwater Lagoon,23-5,0,4,0,4,0.000,0.000,
5,0.950,Unknown Avian,16-23,0,2,0,2,0.000,0.000,
5,0.950,Unknown Avian,23-5,0,2,2,4,0.000,0.000,
5,0.950,Human UTI,16-23,90,49,0,139,0.647,0.647,
5,0.950,Human UTI,23-5,110,30,139,279,0.786,0.394,
5,0.950,unknown,16-23,0,11,0,11,0.000,0.000,
5,0.950,unknown,23-5,3,8,11,22,0.273,0.136,
5,0.950,SLO Creek Water,16-23,0,860,16,876,0.000,0.000,
5,0.950,SLO Creek Water,23-5,0,1328,803,2131,0.000,0.000,
5,0.950,Pig/Swine,16-23,11,15,0,26,0.423,0.423,
5,0.950,Pig/Swine,23-5,13,12,24,49,0.520,0.265,
5,0.950,Klebsiella,16-23,0,0,0,0,NaN,NaN,
5,0.950,Klebsiella,23-5,0,0,0,0,NaN,NaN,
5,0.950,Hu Cw and Dg,16-23,12,18,0,30,0.400,0.400,
5,0.950,Hu Cw and Dg,23-5,16,14,30,60,0.533,0.267,
5,0.950,Ground Squirrel,16-23,104,69,1,174,0.601,0.598,
5,0.950,Ground Squirrel,23-5,89,88,141,318,0.503,0.280,
5,0.950,Opossum,16-23,0,6,0,6,0.000,0.000,
5,0.950,Opossum,23-5,0,6,6,12,0.000,0.000,
5,0.950,Cow,16-23,1519,270,0,1789,0.849,0.849,
5,0.950,Cow,23-5,1489,289,1712,3490,0.837,0.427,
5,0.950,Deer Mouse,16-23,0,2,0,2,0.000,0.000,
5,0.950,Deer Mouse,23-5,0,2,2,4,0.000,0.000,
5,0.950,OVERALL,16-23,3884,2443,21,6348,0.614,0.612,
5,0.950,OVERALL,23-5,4481,3107,5648,13236,0.591,0.339,
5,0.960,Chicken,16-23,5,35,0,40,0.125,0.125,
5,0.960,Chicken,23-5,12,30,40,82,0.286,0.146,
5,0.960,Sea Lion,16-23,0,2,0,2,0.000,0.000,
5,0.960,Sea Lion,23-5,3,1,2,6,0.750,0.500,
5,0.960,Hu and Cw,16-23,17,13,0,30,0.567,0.567,
5,0.960,Hu and Cw,23-5,13,17,30,60,0.433,0.217,
5,0.960,Sheep,16-23,58,46,0,104,0.558,0.558,
5,0.960,Sheep,23-5,70,27,95,192,0.722,0.365,
5,0.960,Hu and Dg,16-23,19,13,0,32,0.594,0.594,
5,0.960,Hu and Dg,23-5,21,9,30,60,0.700,0.350,
5,0.960,Common Loon,16-23,0,2,0,2,0.000,0.000,
5,0.960,Common Loon,23-5,0,2,2,4,0.000,0.000,
5,0.960,Red-Winged Blackbird,16-23,0,2,0,2,0.000,0.000,
5,0.960,Red-Winged Blackbird,23-5,0,2,2,4,0.000,0.000,
5,0.960,Cw,16-23,14,16,0,30,0.467,0.467,
5,0.960,Cw,23-5,23,7,30,60,0.767,0.383,
5,0.960,Cliff Sparrow,16-23,3,25,0,28,0.107,0.107,
5,0.960,Cliff Sparrow,23-5,2,27,27,56,0.069,0.036,
5,0.960,Pig,16-23,17,20,0,37,0.459,0.459,
5,0.960,Pig,23-5,8,26,34,68,0.235,0.118,
5,0.960,Barn Owl,16-23,0,0,0,0,NaN,NaN,
5,0.960,Barn Owl,23-5,0,2,0,2,0.000,0.000,
5,0.960,Wild Pig,16-23,5,12,0,17,0.294,0.294,
5,0.960,Wild Pig,23-5,4,6,8,18,0.400,0.222,
5,0.960,Pennington Creek Water,16-23,0,341,4,345,0.000,0.000,
5,0.960,Pennington Creek Water,23-5,0,445,337,782,0.000,0.000,
5,0.960,Guinni,16-23,0,0,0,0,NaN,NaN,
5,0.960,Guinni,23-5,0,2,0,2,0.000,0.000,
5,0.960,Racoon,16-23,0,2,0,2,0.000,0.000,
5,0.960,Racoon,23-5,0,3,2,5,0.000,0.000,
5,0.960,Hu,16-23,18,11,0,29,0.621,0.621,
5,0.960,Hu,23-5,18,13,29,60,0.581,0.300,
5,0.960,Cw and Dg,16-23,6,24,0,30,0.200,0.200,
5,0.960,Cw and Dg,23-5,18,12,30,60,0.600,0.300,
5,0.960,Red Wind Blackbird,16-23,0,2,0,2,0.000,0.000,
5,0.960,Red Wind Blackbird,23-5,0,2,2,4,0.000,0.000,
5,0.960,Tree Swallow,16-23,0,2,0,2,0.000,0.000,
5,0.960,Tree Swallow,23-5,0,2,2,4,0.000,0.000,
5,0.960,Turkey Vulture,16-23,0,2,0,2,0.000,0.000,
5,0.960,Turkey Vulture,23-5,0,3,2,5,0.000,0.000,
5,0.960,Dg,16-23,10,20,0,30,0.333,0.333,
5,0.960,Dg,23-5,28,2,30,60,0.933,0.467,
5,0.960,Western Kingbird,16-23,0,2,0,2,0.000,0.000,
5,0.960,Western Kingbird,23-5,0,2,2,4,0.000,0.000,
5,0.960,White Crowned Sparrow,16-23,3,12,0,15,0.200,0.200,
5,0.960,White Crowned Sparrow,23-5,4,11,15,30,0.267,0.133,
5,0.960,Eared Grebe,16-23,0,0,0,0,NaN,NaN,
5,0.960,Eared Grebe,23-5,3,1,0,4,0.750,0.750,
5,0.960,cougar,16-23,0,1,0,1,0.000,0.000,
5,0.960,cougar,23-5,0,1,1,2,0.000,0.000,
5,0.960,Ocean Water,16-23,0,0,0,0,NaN,NaN,
5,0.960,Ocean Water,23-5,0,10,0,10,0.000,0.000,
5,0.960,Red Tailed Hawk,16-23,0,2,0,2,0.000,0.000,
5,0.960,Red Tailed Hawk,23-5,0,3,2,5,0.000,0.000,
5,0.960,Dog,16-23,79,59,0,138,0.572,0.572,
5,0.960,Dog,23-5,118,71,138,327,0.624,0.361,
5,0.960,Human,16-23,1706,169,1,1876,0.910,0.909,
5,0.960,Human,23-5,2173,151,1474,3798,0.935,0.572,
5,0.960,Wild Turkey,16-23,12,34,0,46,0.261,0.261,
5,0.960,Wild Turkey,23-5,4,35,39,78,0.103,0.051,
5,0.960,Clark Grebe,16-23,0,0,0,0,NaN,NaN,
5,0.960,Clark Grebe,23-5,0,2,0,2,0.000,0.000,
5,0.960,Seagull,16-23,0,0,0,0,NaN,NaN,
5,0.960,Seagull,23-5,24,43,0,67,0.358,0.358,
5,0.960,Surf Scoter,16-23,0,0,0,0,NaN,NaN,
5,0.960,Surf Scoter,23-5,0,2,0,2,0.000,0.000,
5,0.960,Pigeon,16-23,83,157,0,240,0.346,0.346,
5,0.960,Pigeon,23-5,104,185,194,483,0.360,0.215,
5,0.960,Pacific Ocean Water,16-23,0,46,0,46,0.000,0.000,
5,0.960,Pacific Ocean Water,23-5,0,49,46,95,0.000,0.000,
5,0.960,Cat,16-23,27,26,0,53,0.509,0.509,
5,0.960,Cat,23-5,28,35,38,101,0.444,0.277,
5,0.960,Horse,16-23,13,33,0,46,0.283,0.283,
5,0.960,Horse,23-5,34,53,44,131,0.391,0.260,
5,0.960,orangutan,16-23,0,1,0,1,0.000,0.000,
5,0.960,orangutan,23-5,0,1,1,2,0.000,0.000,
5,0.960,Bat,16-23,36,1,0,37,0.973,0.973,
5,0.960,Bat,23-5,37,1,37,75,0.974,0.493,
5,0.960,Deer,16-23,16,5,0,21,0.762,0.762,
5,0.960,Deer,23-5,18,4,21,43,0.818,0.419,
5,0.960,Great Horned Owl,16-23,0,3,0,3,0.000,0.000,
5,0.960,Great Horned Owl,23-5,0,7,3,10,0.000,0.000,
5,0.960,Freshwater Lagoon,16-23,0,0,0,0,NaN,NaN,
5,0.960,Freshwater Lagoon,23-5,0,4,0,4,0.000,0.000,
5,0.960,Unknown Avian,16-23,0,2,0,2,0.000,0.000,
5,0.960,Unknown Avian,23-5,0,2,2,4,0.000,0.000,
5,0.960,Human UTI,16-23,90,49,0,139,0.647,0.647,
5,0.960,Human UTI,23-5,110,30,139,279,0.786,0.394,
5,0.960,unknown,16-23,0,11,0,11,0.000,0.000,
5,0.960,unknown,23-5,3,8,11,22,0.273,0.136,
5,0.960,SLO Creek Water,16-23,0,852,24,876,0.000,0.000,
5,0.960,SLO Creek Water,23-5,0,1328,803,2131,0.000,0.000,
5,0.960,Pig/Swine,16-23,11,15,0,26,0.423,0.423,
5,0.960,Pig/Swine,23-5,14,11,24,49,0.560,0.286,
5,0.960,Klebsiella,16-23,0,0,0,0,NaN,NaN,
5,0.960,Klebsiella,23-5,0,0,0,0,NaN,NaN,
5,0.960,Hu Cw and Dg,16-23,12,18,0,30,0.400,0.400,
5,0.960,Hu Cw and Dg,23-5,16,14,30,60,0.533,0.267,
5,0.960,Ground Squirrel,16-23,104,69,1,174,0.601,0.598,
5,0.960,Ground Squirrel,23-5,89,88,141,318,0.503,0.280,
5,0.960,Opossum,16-23,0,6,0,6,0.000,0.000,
5,0.960,Opossum,23-5,0,6,6,12,0.000,0.000,
5,0.960,Cow,16-23,1517,270,2,1789,0.849,0.848,
5,0.960,Cow,23-5,1489,289,1712,3490,0.837,0.427,
5,0.960,Deer Mouse,16-23,0,2,0,2,0.000,0.000,
5,0.960,Deer Mouse,23-5,0,2,2,4,0.000,0.000,
5,0.960,OVERALL,16-23,3881,2435,32,6348,0.614,0.611,
5,0.960,OVERALL,23-5,4488,3089,5659,13236,0.592,0.339,
5,0.970,Chicken,16-23,5,35,0,40,0.125,0.125,
5,0.970,Chicken,23-5,12,30,40,82,0.286,0.146,
5,0.970,Sea Lion,16-23,0,2,0,2,0.000,0.000,
5,0.970,Sea Lion,23-5,3,1,2,6,0.750,0.500,
5,0.970,Hu and Cw,16-23,17,13,0,30,0.567,0.567,
5,0.970,Hu and Cw,23-5,13,17,30,60,0.433,0.217,
5,0.970,Sheep,16-23,58,46,0,104,0.558,0.558,
5,0.970,Sheep,23-5,70,27,95,192,0.722,0.365,
5,0.970,Hu and Dg,16-23,19,13,0,32,0.594,0.594,
5,0.970,Hu and Dg,23-5,21,9,30,60,0.700,0.350,
5,0.970,Common Loon,16-23,0,2,0,2,0.000,0.000,
5,0.970,Common Loon,23-5,0,2,2,4,0.000,0.000,
5,0.970,Red-Winged Blackbird,16-23,0,2,0,2,0.000,0.000,
5,0.970,Red-Winged Blackbird,23-5,0,2,2,4,0.000,0.000,
5,0.970,Cw,16-23,14,16,0,30,0.467,0.467,
5,0.970,Cw,23-5,23,7,30,60,0.767,0.383,
5,0.970,Cliff Sparrow,16-23,3,25,0,28,0.107,0.107,
5,0.970,Cliff Sparrow,23-5,2,27,27,56,0.069,0.036,
5,0.970,Pig,16-23,17,20,0,37,0.459,0.459,
5,0.970,Pig,23-5,8,26,34,68,0.235,0.118,
5,0.970,Barn Owl,16-23,0,0,0,0,NaN,NaN,
5,0.970,Barn Owl,23-5,0,2,0,2,0.000,0.000,
5,0.970,Wild Pig,16-23,5,12,0,17,0.294,0.294,
5,0.970,Wild Pig,23-5,4,6,8,18,0.400,0.222,
5,0.970,Pennington Creek Water,16-23,0,340,5,345,0.000,0.000,
5,0.970,Pennington Creek Water,23-5,0,435,347,782,0.000,0.000,
5,0.970,Guinni,16-23,0,0,0,0,NaN,NaN,
5,0.970,Guinni,23-5,0,2,0,2,0.000,0.000,
5,0.970,Racoon,16-23,0,2,0,2,0.000,0.000,
5,0.970,Racoon,23-5,0,3,2,5,0.000,0.000,
5,0.970,Hu,16-23,18,11,0,29,0.621,0.621,
5,0.970,Hu,23-5,18,13,29,60,0.581,0.300,
5,0.970,Cw and Dg,16-23,6,24,0,30,0.200,0.200,
5,0.970,Cw and Dg,23-5,18,12,30,60,0.600,0.300,
5,0.970,Red Wind Blackbird,16-23,0,2,0,2,0.000,0.000,
5,0.970,Red Wind Blackbird,23-5,0,2,2,4,0.000,0.000,
5,0.970,Tree Swallow,16-23,0,2,0,2,0.000,0.000,
5,0.970,Tree Swallow,23-5,0,2,2,4,0.000,0.000,
5,0.970,Turkey Vulture,16-23,0,2,0,2,0.000,0.000,
5,0.970,Turkey Vulture,23-5,0,3,2,5,0.000,0.000,
5,0.970,Dg,16-23,10,20,0,30,0.333,0.333,
5,0.970,Dg,23-5,28,2,30,60,0.933,0.467,
5,0.970,Western Kingbird,16-23,0,2,0,2,0.000,0.000,
5,0.970,Western Kingbird,23-5,0,2,2,4,0.000,0.000,
5,0.970,White Crowned Sparrow,16-23,3,12,0,15,0.200,0.200,
5,0.970,White Crowned Sparrow,23-5,4,11,15,30,0.267,0.133,
5,0.970,Eared Grebe,16-23,0,0,0,0,NaN,NaN,
5,0.970,Eared Grebe,23-5,3,1,0,4,0.750,0.750,
5,0.970,cougar,16-23,0,1,0,1,0.000,0.000,
5,0.970,cougar,23-5,0,1,1,2,0.000,0.000,
5,0.970,Ocean Water,16-23,0,0,0,0,NaN,NaN,
5,0.970,Ocean Water,23-5,0,10,0,10,0.000,0.000,
5,0.970,Red Tailed Hawk,16-23,0,2,0,2,0.000,0.000,
5,0.970,Red Tailed Hawk,23-5,0,3,2,5,0.000,0.000,
5,0.970,Dog,16-23,79,59,0,138,0.572,0.572,
5,0.970,Dog,23-5,118,71,138,327,0.624,0.361,
5,0.970,Human,16-23,1706,169,1,1876,0.910,0.909,
5,0.970,Human,23-5,2169,150,1479,3798,0.935,0.571,
5,0.970,Wild Turkey,16-23,12,34,0,46,0.261,0.261,
5,0.970,Wild Turkey,23-5,6,33,39,78,0.154,0.077,
5,0.970,Clark Grebe,16-23,0,0,0,0,NaN,NaN,
5,0.970,Clark Grebe,23-5,0,2,0,2,0.000,0.000,
5,0.970,Seagull,16-23,0,0,0,0,NaN,NaN,
5,0.970,Seagull,23-5,24,43,0,67,0.358,0.358,
5,0.970,Surf Scoter,16-23,0,0,0,0,NaN,NaN,
5,0.970,Surf Scoter,23-5,0,2,0,2,0.000,0.000,
5,0.970,Pigeon,16-23,81,157,2,240,0.340,0.338,
5,0.970,Pigeon,23-5,104,185,194,483,0.360,0.215,
5,0.970,Pacific Ocean Water,16-23,0,46,0,46,0.000,0.000,
5,0.970,Pacific Ocean Water,23-5,0,49,46,95,0.000,0.000,
5,0.970,Cat,16-23,27,26,0,53,0.509,0.509,
5,0.970,Cat,23-5,28,35,38,101,0.444,0.277,
5,0.970,Horse,16-23,13,33,0,46,0.283,0.283,
5,0.970,Horse,23-5,34,53,44,131,0.391,0.260,
5,0.970,orangutan,16-23,0,1,0,1,0.000,0.000,
5,0.970,orangutan,23-5,0,1,1,2,0.000,0.000,
5,0.970,Bat,16-23,36,1,0,37,0.973,0.973,
5,0.970,Bat,23-5,37,1,37,75,0.974,0.493,
5,0.970,Deer,16-23,16,5,0,21,0.762,0.762,
5,0.970,Deer,23-5,18,4,21,43,0.818,0.419,
5,0.970,Great Horned Owl,16-23,0,3,0,3,0.000,0.000,
5,0.970,Great Horned Owl,23-5,0,7,3,10,0.000,0.000,
